date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2022-02-23,Dubai Tennis Championships,2nd Round,Hard,Rublev A.,Kwon S.W.,7,60.0,1.2,4.5,1.26,4.34,1.26,5.0
2022-02-23,Dubai Tennis Championships,2nd Round,Hard,Berankis R.,Popyrin A.,99,66.0,2.5,1.53,2.64,1.55,2.66,1.57
2022-02-23,Chile Open,2nd Round,Clay,Monteiro T.,Delbonis F.,107,37.0,2.1,1.72,2.07,1.85,2.16,1.85
2022-02-23,Dubai Tennis Championships,2nd Round,Hard,Mcdonald M.,Krajinovic F.,61,44.0,1.53,2.5,1.58,2.54,1.68,2.63
2022-02-23,Chile Open,2nd Round,Clay,Baez S.,Londero J.I.,78,139.0,1.4,3.0,1.51,2.77,1.51,3.02
2022-02-23,Abierto Mexicano,1st Round,Hard,Andujar P.,Hernandez A.,68,566.0,1.12,6.0,1.17,5.73,1.17,7.0
2022-02-23,Abierto Mexicano,1st Round,Hard,Paul T.,Berrettini M.,39,6.0,3.4,1.33,3.23,1.39,3.44,1.39
2022-02-23,Abierto Mexicano,1st Round,Hard,Nishioka Y.,Lopez F.,103,114.0,1.3,3.5,1.27,4.09,1.34,4.15
2022-02-23,Abierto Mexicano,1st Round,Hard,Medvedev D.,Paire B.,2,49.0,1.06,10.0,1.06,12.12,1.07,12.75
2022-02-23,Abierto Mexicano,1st Round,Hard,Giron M.,Millman J.,59,80.0,1.8,2.0,1.88,2.02,1.93,2.17
2022-02-23,Abierto Mexicano,1st Round,Hard,Norrie C.,Altmaier D.,12,84.0,1.16,5.0,1.21,4.89,1.25,5.5
2022-02-23,Abierto Mexicano,1st Round,Hard,Nadal R.,Kudla D.,5,100.0,1.03,15.0,1.03,16.92,1.03,17.0
2022-02-23,Abierto Mexicano,1st Round,Hard,Wolf J.J.,Sonego L.,209,21.0,2.75,1.44,2.76,1.5,2.8,1.5
2022-02-23,Abierto Mexicano,1st Round,Hard,Tsitsipas S.,Djere L.,4,51.0,1.08,8.0,1.1,8.68,1.1,13.0
2022-02-24,Chile Open,2nd Round,Clay,Kecmanovic M.,Pucinelli de Almeida M.,63,264.0,1.2,4.5,1.23,4.74,1.26,4.96
2022-02-24,Chile Open,2nd Round,Clay,Hanfmann Y.,Seyboth Wild T.,115,135.0,1.44,2.75,1.42,3.1,1.48,3.1
2022-02-24,Chile Open,2nd Round,Clay,Martinez P.,Munar J.,72,93.0,2.3,1.61,2.23,1.74,2.38,1.74
2022-02-24,Chile Open,2nd Round,Clay,Ramos-Vinolas A.,Taberner C.,31,108.0,1.44,2.75,1.52,2.72,1.52,2.88
2022-02-24,Abierto Mexicano,2nd Round,Hard,Giron M.,Carreno Busta P.,59,17.0,3.4,1.33,3.81,1.31,4.3,1.36
2022-02-24,Abierto Mexicano,2nd Round,Hard,Norrie C.,Isner J.,12,23.0,1.4,3.0,1.46,2.95,1.46,3.06
2022-02-24,Abierto Mexicano,2nd Round,Hard,Paul T.,Lajovic D.,39,46.0,1.3,3.5,1.31,3.81,1.33,3.81
2022-02-24,Abierto Mexicano,2nd Round,Hard,Medvedev D.,Andujar P.,2,68.0,1.02,17.0,1.03,18.36,1.03,26.0
2022-02-24,Abierto Mexicano,2nd Round,Hard,Gojowczyk P.,Zverev A.,95,3.0,10.0,1.06,11.96,1.06,11.96,1.05
2022-02-24,Dubai Tennis Championships,Quarterfinals,Hard,Shapovalov D.,Berankis R.,14,99.0,1.2,4.5,1.22,5.36,1.23,5.36
2022-02-24,Dubai Tennis Championships,Quarterfinals,Hard,Vesely J.,Djokovic N.,123,1.0,11.0,1.05,14.05,1.05,15.16,1.06
2022-02-24,Dubai Tennis Championships,Quarterfinals,Hard,Hurkacz H.,Sinner J.,11,10.0,2.5,1.53,2.59,1.57,2.73,1.57
2022-02-24,Dubai Tennis Championships,Quarterfinals,Hard,Rublev A.,Mcdonald M.,7,61.0,1.28,3.75,1.29,3.98,1.32,4.12
2022-02-24,Abierto Mexicano,2nd Round,Hard,Nishioka Y.,Fritz T.,103,16.0,4.5,1.2,5.22,1.2,5.22,1.22
2022-02-24,Abierto Mexicano,2nd Round,Hard,Nadal R.,Kozlov S.,5,130.0,1.01,26.0,1.01,26.77,1.02,34.0
2022-02-24,Abierto Mexicano,2nd Round,Hard,Tsitsipas S.,Wolf J.J.,4,209.0,1.14,5.5,1.17,5.92,1.19,6.0
2022-02-24,Abierto Mexicano,Quarterfinals,Hard,Medvedev D.,Nishioka Y.,2,103.0,1.06,10.0,1.07,11.57,1.07,12.11
2022-02-25,Chile Open,2nd Round,Clay,Tabilo A.,Garin C.,113,27.0,1.61,2.3,1.6,2.51,1.71,2.56
2022-02-25,Abierto Mexicano,Quarterfinals,Hard,Norrie C.,Gojowczyk P.,12,95.0,1.1,7.0,1.13,7.29,1.13,7.5
2022-02-25,Abierto Mexicano,Quarterfinals,Hard,Nadal R.,Paul T.,5,39.0,1.1,7.0,1.11,8.13,1.11,8.13
