date,tournament,round,surface,match,wrank,lrank,prob_winner,odds_winner,odds_loser,pin_winner,pin_loser,edge,confidence,decision,reason,stake,result,leak_flag,invalidated,data_cutoff,bankroll_before,profit,bankroll_after
2024-01-08,ASB Classic,1st Round,Hard,Marozsan F. vs Monfils G.,65,75.0,0.2602,2.5,1.53,2.59,1.56,0.0,0.48,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,ASB Classic,1st Round,Hard,Carballes Baena R. vs Bautista Agut R.,67,51.0,0.2675,6.0,1.13,6.1,1.16,0.0,0.465,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,ASB Classic,1st Round,Hard,Tabilo A. vs Gojo B.,82,91.0,0.4631,2.63,1.5,2.52,1.58,0.0,0.074,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,ASB Classic,1st Round,Hard,Van De Zandschulp B. vs Eubanks C.,59,34.0,0.6295,1.44,2.75,1.44,2.98,0.0,0.259,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,ASB Classic,1st Round,Hard,Muller A. vs Bonzi B.,79,110.0,0.3955,2.0,1.8,2.02,1.88,0.0,0.209,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,Adelaide International,1st Round,Hard,Draper J. vs Baez S.,62,26.0,0.7653,1.17,5.0,1.2,5.07,0.0,0.531,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,Adelaide International,1st Round,Hard,Shevchenko A. vs Etcheverry T.,48,30.0,0.5781,1.73,2.1,1.75,2.19,0.0,0.156,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,Adelaide International,1st Round,Hard,Kecmanovic M. vs Mcdonald M.,55,42.0,0.3803,1.5,2.63,1.57,2.53,0.0,0.239,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,Adelaide International,1st Round,Hard,Lajovic D. vs Kokkinakis T.,52,68.0,0.5293,2.75,1.44,2.69,1.52,0.0,0.059,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-09,Adelaide International,1st Round,Hard,Thompson J. vs Diaz Acosta F.,47,93.0,0.7681,1.2,4.5,1.22,4.76,0.0,0.536,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,ASB Classic,2nd Round,Hard,Altmaier D. vs Auger-Aliassime F.,57,27.0,0.2141,3.0,1.4,3.2,1.41,0.0,0.572,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,Adelaide International,1st Round,Hard,Evans D. vs Hijikata R.,40,70.0,0.5072,1.8,2.0,1.83,2.07,0.0,0.014,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,Adelaide International,1st Round,Hard,Bublik A. vs Mccabe J.,31,278.0,0.6936,1.3,3.5,1.29,3.97,0.0,0.387,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,ASB Classic,2nd Round,Hard,Muller A. vs Cerundolo F.,79,22.0,0.2923,2.38,1.57,2.24,1.74,0.0,0.415,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,Adelaide International,1st Round,Hard,Bolt A. vs Seyboth Wild T.,325,78.0,0.5941,1.73,2.1,1.93,1.96,0.0,0.188,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,ASB Classic,1st Round,Hard,Fils A. vs Gasquet R.,35,76.0,0.7114,1.33,3.4,1.35,3.48,0.0,0.423,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,ASB Classic,1st Round,Hard,Purcell M. vs Pannu K.,45,716.0,0.5349,1.04,13.0,1.06,12.27,0.0,0.07,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,ASB Classic,1st Round,Hard,Ofner S. vs Shapovalov D.,37,116.0,0.4662,1.8,2.0,1.94,1.94,0.0,0.068,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,Adelaide International,1st Round,Hard,O Connell C. vs Rinderknech A.,71,97.0,0.5016,2.1,1.73,2.1,1.81,0.0,0.003,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,Adelaide International,1st Round,Hard,Sonego L. vs Hanfmann Y.,46,49.0,0.6836,1.62,2.3,1.5,2.75,0.0,0.367,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-09,Adelaide International,1st Round,Hard,Lehecka J. vs Walton A.,32,176.0,0.6298,1.3,3.5,1.35,3.43,0.0,0.26,,no-bet baseline,0.0,,0,0,2024-01-08,1000000.0,0.0,1000000.0
2024-01-10,Adelaide International,2nd Round,Hard,Jarry N. vs Arnaldi M.,18,41.0,0.563,1.73,2.1,1.81,2.13,0.0,0.126,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,Adelaide International,2nd Round,Hard,Draper J. vs Kecmanovic M.,62,55.0,0.7264,1.44,2.75,1.48,2.86,0.0,0.453,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,Adelaide International,2nd Round,Hard,Korda S. vs Sonego L.,29,46.0,0.5906,1.57,2.38,1.6,2.5,0.0,0.181,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,Adelaide International,2nd Round,Hard,Paul T. vs Bolt A.,14,325.0,0.8067,1.25,4.0,1.3,3.94,0.0,0.613,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,Adelaide International,2nd Round,Hard,Lehecka J. vs Lajovic D.,32,52.0,0.4844,1.4,3.0,1.47,2.9,0.0,0.031,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,Adelaide International,2nd Round,Hard,Bublik A. vs Evans D.,31,40.0,0.5494,1.8,2.0,1.95,1.95,0.0,0.099,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,Adelaide International,2nd Round,Hard,Musetti L. vs Thompson J.,25,47.0,0.4289,2.38,1.57,2.49,1.61,0.0,0.142,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,Adelaide International,2nd Round,Hard,O Connell C. vs Shevchenko A.,71,48.0,0.3642,2.3,1.62,2.13,1.8,0.0,0.272,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,ASB Classic,2nd Round,Hard,Norrie C. vs Van Assche L.,19,87.0,0.6507,1.4,3.0,1.41,3.15,0.0,0.301,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,ASB Classic,2nd Round,Hard,Tabilo A. vs Van De Zandschulp B.,82,59.0,0.4173,2.75,1.44,2.8,1.5,0.0,0.165,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,ASB Classic,2nd Round,Hard,Fils A. vs Borges N.,35,66.0,0.7629,1.25,4.0,1.27,4.23,0.0,0.526,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,ASB Classic,2nd Round,Hard,Carballes Baena R. vs Ofner S.,67,37.0,0.2277,3.5,1.3,3.35,1.38,0.0,0.545,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,ASB Classic,2nd Round,Hard,Shelton B. vs Marozsan F.,16,65.0,0.6733,1.44,2.75,1.5,2.79,0.0,0.347,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,ASB Classic,2nd Round,Hard,Daniel T. vs Purcell M.,74,45.0,0.5519,2.2,1.67,2.22,1.74,0.0,0.104,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-10,ASB Classic,Quarterfinals,Hard,Daniel T. vs Muller A.,74,79.0,0.5073,1.91,1.91,1.91,2.0,0.0,0.015,,no-bet baseline,0.0,,0,0,2024-01-09,1000000.0,0.0,1000000.0
2024-01-11,ASB Classic,Quarterfinals,Hard,Fils A. vs Altmaier D.,35,57.0,0.6764,1.29,3.75,1.31,3.83,0.0,0.353,,no-bet baseline,0.0,,0,0,2024-01-10,1000000.0,0.0,1000000.0
2024-01-11,ASB Classic,Quarterfinals,Hard,Shelton B. vs Carballes Baena R.,16,67.0,0.817,1.17,5.0,1.18,5.69,0.0,0.634,,no-bet baseline,0.0,,0,0,2024-01-10,1000000.0,0.0,1000000.0
2024-01-11,Adelaide International,Quarterfinals,Hard,Korda S. vs O Connell C.,29,71.0,0.7341,1.4,3.0,1.47,2.92,0.0,0.468,,no-bet baseline,0.0,,0,0,2024-01-10,1000000.0,0.0,1000000.0
2024-01-11,ASB Classic,Quarterfinals,Hard,Tabilo A. vs Norrie C.,82,19.0,0.4386,3.4,1.33,3.27,1.39,0.0,0.123,,no-bet baseline,0.0,,0,0,2024-01-10,1000000.0,0.0,1000000.0
2024-01-11,Adelaide International,Quarterfinals,Hard,Bublik A. vs Musetti L.,31,25.0,0.5168,1.91,1.91,1.99,1.92,0.0,0.034,,no-bet baseline,0.0,,0,0,2024-01-10,1000000.0,0.0,1000000.0
2024-01-11,Adelaide International,Quarterfinals,Hard,Draper J. vs Paul T.,62,14.0,0.5325,2.2,1.67,2.09,1.83,0.0,0.065,,no-bet baseline,0.0,,0,0,2024-01-10,1000000.0,0.0,1000000.0
2024-01-11,Adelaide International,Quarterfinals,Hard,Lehecka J. vs Jarry N.,32,18.0,0.3693,2.0,1.8,2.05,1.87,0.0,0.261,,no-bet baseline,0.0,,0,0,2024-01-10,1000000.0,0.0,1000000.0
2024-01-12,ASB Classic,Semifinals,Hard,Daniel T. vs Shelton B.,74,16.0,0.2431,4.33,1.22,4.39,1.26,0.0,0.514,,no-bet baseline,0.0,,0,0,2024-01-11,1000000.0,0.0,1000000.0
2024-01-12,ASB Classic,Semifinals,Hard,Tabilo A. vs Fils A.,82,35.0,0.3789,4.0,1.25,4.22,1.27,0.0,0.242,,no-bet baseline,0.0,,0,0,2024-01-11,1000000.0,0.0,1000000.0
2024-01-12,Adelaide International,Semifinals,Hard,Lehecka J. vs Korda S.,32,29.0,0.3586,2.5,1.53,2.48,1.61,0.0,0.283,,no-bet baseline,0.0,,0,0,2024-01-11,1000000.0,0.0,1000000.0
2024-01-12,Adelaide International,Semifinals,Hard,Draper J. vs Bublik A.,62,31.0,0.6636,1.44,2.75,1.46,2.96,0.0,0.327,,no-bet baseline,0.0,,0,0,2024-01-11,1000000.0,0.0,1000000.0
2024-01-13,Adelaide International,The Final,Hard,Lehecka J. vs Draper J.,32,62.0,0.3085,2.3,1.62,2.45,1.63,0.0,0.383,,no-bet baseline,0.0,,0,0,2024-01-12,1000000.0,0.0,1000000.0
2024-01-13,ASB Classic,The Final,Hard,Tabilo A. vs Daniel T.,82,74.0,0.5268,2.1,1.73,2.08,1.84,0.0,0.054,,no-bet baseline,0.0,,0,0,2024-01-12,1000000.0,0.0,1000000.0
2024-01-14,Australian Open,1st Round,Hard,Machac T. vs Mochizuki S.,75,136.0,0.5817,1.25,4.0,1.3,3.92,0.0,0.163,,no-bet baseline,0.0,,0,0,2024-01-13,1000000.0,0.0,1000000.0
2024-01-14,Australian Open,1st Round,Hard,Arnaldi M. vs Walton A.,41,174.0,0.7148,1.2,4.5,1.22,4.84,0.0,0.43,,no-bet baseline,0.0,,0,0,2024-01-13,1000000.0,0.0,1000000.0
2024-01-14,Australian Open,1st Round,Hard,Munar J. vs Shevchenko A.,82,48.0,0.3101,3.2,1.36,3.06,1.43,0.0,0.38,,no-bet baseline,0.0,,0,0,2024-01-13,1000000.0,0.0,1000000.0
